Maximum,Minimum,Mean,Standard Deviation,Root Mean Square,Skewness,Kurtosis,Peak Value,Peak Value Index,Shape Index,Absolute Mean,Sample Variance,Root Amplitude,Impulse Index,Margin Index,labels
115.7,0.4,17.4494,32.895706020530675,37.20812787550591,1.900228142582205,2.159946706495848,115.7,3.1095356473488485,2.132344256851577,17.4494,1082.1274745891783,3.0221280707640953e-05,6.630600479099567,3828428.090764107,0
138.3,0.3,20.608400000000003,38.1009297936715,43.28375723062867,1.9968098822464924,2.605727044839904,138.3,3.1951939676377137,2.1002968319048865,20.608400000000003,1451.6808511422842,3.728505411661908e-05,6.710855767551095,3709261.077305384,0
137.5,0.3,19.340400000000002,38.52129577644804,43.06940352500833,1.9974317816499738,2.5484987618012447,137.5,3.192521575557933,2.2269137931484524,19.340400000000002,1483.8902282965937,3.033849797984304e-05,7.10947033153399,4532195.367462005,0
3.9,0.1,1.0604,0.35002410452352417,1.116566164631546,2.898619586982927,19.572802578802285,3.9,3.4928516764494253,1.0529669602334457,1.0604,0.12251687374749497,4.144954257424801e-06,3.677857412297246,940903.0251694532,1
137.3,0.3,19.339999999999996,38.472218329157116,43.02542225243118,1.9965027692615487,2.5450040087359858,137.3,3.191136607433104,2.22468574211123,19.339999999999996,1480.1115831663326,3.04399558855797e-05,7.0992761116856276,4510519.020332847,0
127.4,0.5,18.996,35.2597351357563,40.02012543708478,1.9417357605872871,2.3166606239237932,127.4,3.183398317935915,2.1067659210931136,18.996,1243.2489218436874,3.6437295122856495e-05,6.706675089492525,3496417.600989382,0
137.6,0.3,19.144199999999998,38.512256935013006,42.973572576642965,2.0023133116475353,2.57040539807403,137.6,3.201967901425735,2.2447306534952083,19.144199999999998,1483.1939342284572,2.9182633387479868e-05,7.187555499838072,4715133.078395663,0
-0.2,-1.3,-0.7874000000000001,0.19874667413811467,0.812046796681078,-0.6096551804474772,0.10526218019494316,1.3,1.6008929600033384,1.0313014943879577,0.7874000000000001,0.039500240480961936,3.100296512492436e-06,-1.651003302006604,419314.7315947806,1
142.7,0.3,20.502200000000002,39.29273537521323,44.285115106545675,2.00016960830648,2.5806752070876167,142.7,3.2223016617813385,2.1600177106137717,20.502200000000002,1543.9190532665332,3.5769453905574005e-05,6.960228658387879,3989437.4786013393,0
120.0,0.7,18.6316,33.37823684423219,38.19705486028995,1.8976809831840766,2.126831453606421,120.0,3.141603467568732,2.05012209688325,18.6316,1114.1066948296593,3.7986964788084525e-05,6.440670688507697,3158978.3671698016,0
124.1,0.4,21.202599999999997,34.56357583916309,40.51915275520948,1.847685965108341,2.121812165909759,124.1,3.0627491337178725,1.9110464167229249,21.202599999999997,1194.640774789579,4.354368927106823e-05,5.853055757312783,2850011.151500107,0
