Maximum,Minimum,Mean,Standard Deviation,Root Mean Square,Skewness,Kurtosis,Peak Value,Peak Value Index,Shape Index,Absolute Mean,Sample Variance,Root Amplitude,Impulse Index,Margin Index,labels
126.2,0.4,18.3878,35.090794788916305,39.58550669121213,1.930962557816378,2.2897470072777306,126.2,3.188035484411673,2.1528136422634647,18.3878,1231.3638789178358,3.132111404724179e-05,6.863246282861463,4029230.8827090864,0
134.4,0.2,19.009000000000004,37.84355544048093,42.31562950022131,1.9973315001761716,2.5694150617809726,134.4,3.176131410246351,2.226083933937677,19.009000000000004,1432.1346883767535,2.9214378275993793e-05,7.070335104424219,4600474.42154331,0
1.0,0.0,0.6277999999999999,0.12505373594478295,0.6401093656555886,0.04851489210149506,1.0672161891036875,1.0,1.562233039624124,1.0196071450391664,0.6277999999999999,0.015638436873747497,2.482230184857397e-06,1.592863969417012,402863.5241406709,1
117.5,0.3,17.447200000000002,33.94655489646449,38.13749650934104,1.9083182702703763,2.1551554127651054,117.5,3.0809573452526084,2.1858806289456783,17.447200000000002,1152.3685893386773,2.791026277180181e-05,6.734604979595579,4209920.951325193,0
136.7,0.1,19.327600000000004,37.81046337352984,42.4302722121836,1.9893745630097672,2.5260198919400905,136.7,3.221756375174689,2.195320278367909,19.327600000000004,1429.6311405210415,3.0798031730427536e-05,7.072787102382084,4438595.336108589,0
128.9,0.3,18.202399999999997,35.44453504235508,39.81368860078152,1.9612360202735206,2.4410427392208307,128.9,3.237579951270071,2.1872768756197822,18.202399999999997,1256.3150643687372,2.9330288843765724e-05,7.0814837603832474,4394774.312882303,0
130.2,0.1,19.344400000000004,35.55124372649995,40.442168092227696,1.9393698050325008,2.409391572008041,130.2,3.2194119687916096,2.090639569706359,19.344400000000004,1263.8909305010018,3.4225117493538036e-05,6.730630053141993,3804223.609300472,0
124.8,0.0,18.393,34.20420890495243,38.80580497812151,1.9034541237421236,2.271796422668091,124.8,3.2160136884252633,2.109813786664574,18.393,1169.9279068136273,2.9504440604433093e-05,6.785190017941608,4229871.756363637,0
135.0,0.0,19.1152,37.55871460854448,42.10969722047405,1.9743300433850484,2.544787508875797,135.0,3.205912388616321,2.20294306209059,19.1152,1410.6570430460922,2.771993010909504e-05,7.062442454172595,4870142.149301663,0
1.4,-0.2,0.7143999999999999,0.21892577964686566,0.747127833774114,0.3380079217074319,0.6966644634023105,1.4,1.8738426500963083,1.0446418257468035,0.7152000000000001,0.047928496993987976,2.788867691448726e-06,1.9596864501679732,501995.8473801765,1
142.1,0.3,20.7594,39.55535037294263,44.63685898447604,2.011734551422331,2.623769669327504,142.1,3.1834677267372244,2.150199860519863,20.7594,1564.6257431262525,3.6206915192186444e-05,6.845091861999865,3924664.6461244393,0
135.7,0.1,19.410199999999996,38.39722189506055,42.99015957169734,1.9715324358504174,2.4448721090746686,135.7,3.1565363178911845,2.2148231121625406,19.410199999999996,1474.346649258517,3.0155269166237993e-05,6.991169591245841,4500042.737205293,0
124.8,0.0,18.724199999999996,34.197027176282305,38.957585397455006,1.918716062084667,2.315323882303396,124.8,3.2034839615124824,2.0806007945575784,18.724199999999996,1169.4366676953907,3.294775521126207e-05,6.6651712756753305,3787814.9573401394,0
124.2,0.3,19.1196,34.387288160220315,39.31513347300248,1.91457208331594,2.2979557401576827,124.2,3.1590888553204977,2.056273848459303,19.1196,1182.4855870140282,3.555919618936799e-05,6.495951798154774,3492767.365678956,0
135.9,0.1,19.2184,38.094050122683186,42.633334844930914,1.9627355544834928,2.435359241295912,135.9,3.1876464858849403,2.2183602612564477,19.2184,1451.156654749499,2.8879554843116858e-05,7.071348291220914,4705751.204900943,0
128.4,-0.1,19.041600000000003,35.80476661094342,40.521597698017786,1.9655862806692863,2.482666202778331,128.4,3.1686805874952215,2.128011642580495,19.042,1281.9813120641284,3.167625922984971e-05,6.743130829342071,4053508.940822278,0
0.8,-0.1,0.42100000000000004,0.1097409958600007,0.43504022802494946,-0.5844780211550892,1.6270585653951768,0.8,1.8389104006126997,1.0323688372685083,0.42140000000000005,0.01204308617234469,1.6465796057187592e-06,1.9002375296912113,485855.64719829435,1
0.7,0.0,0.425,0.10704165465678922,0.43824650597580356,-0.7723358112972795,0.1934862684640417,0.7,1.5972745713998877,1.031168249354832,0.425,0.011457915831663326,1.6660223943353953e-06,1.6470588235294117,420162.4194128806,1
128.0,0.0,18.1686,36.088919827401554,40.372061379127025,1.963811069153319,2.4301071397785234,128.0,3.1705093975255365,2.222078827159331,18.1686,1302.4101343086172,2.696151688121497e-05,7.045121803551181,4747507.366292958,0
122.4,0.3,20.256800000000002,32.29094026823644,38.091434207706065,1.8554925596688479,2.236586415723038,122.4,3.213320856667506,1.8804270273540766,20.256800000000002,1042.7048234068138,4.397549295191386e-05,6.042415386438134,2783368.4578326717,0
136.5,0.5,18.507199999999997,36.63168996346139,41.008699077147035,2.0236540930527207,2.739097077771188,136.5,3.328562062971354,2.2158240618325324,18.507199999999997,1341.880709579158,2.9972902130664395e-05,7.375507910434859,4554113.559138835,0
135.7,0.3,20.4878,37.67866604472376,42.855483429778275,1.9536490736925218,2.4695750344851106,135.7,3.166455938418102,2.091756236871615,20.4878,1419.6818749098193,3.626355787969454e-05,6.623453957965228,3742048.7104488993,0
134.9,0.5,21.5522,35.29155938021121,41.32191307284792,1.978265510596029,2.72531073495347,134.9,3.2646116786069377,1.917294432719069,21.5522,1245.4941634869738,4.813582184181566e-05,6.259221796382737,2802486.689503495,0
127.4,0.4,19.7912,35.705167701064255,40.79216689512828,1.9720745301232598,2.433493464309291,127.4,3.123148626243121,2.061126505473558,19.7912,1274.8590005611222,3.941850110138604e-05,6.437204414083027,3231984.891366667,0
137.9,0.5,19.6624,36.97109668674221,41.841824052017614,1.9537624095944361,2.4651873763149137,137.9,3.2957454203851912,2.128012045936285,19.6624,1366.8619902204407,3.4352843178524776e-05,7.013385954919033,4014223.780062733,0
128.3,0.0,18.8476,35.97537587821923,40.58166137555238,1.9501703202476892,2.390258270231538,128.3,3.1615265529097294,2.1531474233086643,18.8476,1294.2276695791584,3.0817971157272676e-05,6.807232751119507,4163155.3013418512,0
128.9,0.5,18.753000000000004,36.68064435558188,41.16374302708635,1.9607283774890774,2.379298952944106,128.9,3.131396479547108,2.1950484203640133,18.753000000000004,1345.4696703406812,3.124089207116739e-05,6.873566895963312,4126002.53879957,0
125.2,0.3,18.171800000000005,35.65847273953601,39.9899729932392,1.942746552340593,2.310560234524492,125.2,3.130784810011415,2.2006610788826197,18.171800000000005,1271.5266781162325,2.872236137037775e-05,6.8897962777490385,4358973.0797385825,0
